PULocationID,zone_name,borough,total_rides,avg_distance,avg_fare,safety_index
113,Greenwich Village North,Manhattan,2018,2.7780227948463825,15.300079286422202,0.14106868093439642
114,Greenwich Village South,Manhattan,7008,2.7789811643835614,15.12214897260274,0.49006854105469294
115,Grymes Hill/Clifton,Staten Island,1,0.0,75.0,0.0
116,Hamilton Heights,Manhattan,107,2.518785046728972,15.95607476635514,0.0074136242831165195
117,Hammels/Arverne,Queens,3,6.733333333333333,64.33333333333333,0.00013987970345502866
119,Highbridge,Bronx,3,0.7866666666666666,20.466666666666665,0.00013987970345502866
121,Hillcrest/Pomonok,Queens,1,6.64,28.2,0.0
122,Hollis,Queens,12,0.0,41.51666666666667,0.0007693383690026577
123,Homecrest,Brooklyn,1,0.0,13.0,0.0
124,Howard Beach,Queens,1,6.84,50.3,0.0
125,Hudson Sq,Manhattan,1053,2.697150997150997,15.179145299145299,0.07357672401734508
126,Hunts Point,Bronx,1,0.12,3.7,0.0
127,Inwood,Manhattan,14,2.415,18.014285714285716,0.0009092180724576864
129,Jackson Heights,Queens,62,2.2401612903225803,15.649999999999999,0.004266330955378375
130,Jamaica,Queens,38,8.830526315789474,52.00868421052631,0.0025877745139180307
131,Jamaica Estates,Queens,14,5.4799999999999995,28.178571428571427,0.0009092180724576864
132,JFK Airport,Queens,7256,14.462276736493935,55.14648153252481,0.5074136242831165
133,Kensington,Brooklyn,4,3.4825,15.425,0.000209819555182543
134,Kew Gardens,Queens,6,6.331666666666667,37.016666666666666,0.0003496992586375717
135,Kew Gardens Hills,Queens,3,0.2333333333333333,34.88333333333333,0.00013987970345502866
136,Kingsbridge Heights,Bronx,9,1.1122222222222222,16.822222222222223,0.0005595188138201147
137,Kips Bay,Manhattan,2202,2.624005449591281,13.77896003633061,0.15393761365225905
138,LaGuardia Airport,Queens,3205,9.211435257410297,36.97653666146646,0.22408728493495594
139,Laurelton,Queens,1,3.4,15.6,0.0
140,Lenox Hill East,Manhattan,1016,2.888681102362205,14.81595472440945,0.07098894950342706
141,Lenox Hill West,Manhattan,2712,2.53337389380531,13.190446165191739,0.18960693803329137
142,Lincoln Square East,Manhattan,2100,2.781890476190476,15.167390476190477,0.1468037487760526
143,Lincoln Square West,Manhattan,478,2.9397071129707113,15.82010460251046,0.03336130927402434
144,Little Italy/NoLiTa,Manhattan,2691,2.7372389446302487,15.102489780750652,0.18813820114701357
145,Long Island City/Hunters Point,Queens,78,3.1824358974358975,23.20448717948718,0.005385368583018604
146,Long Island City/Queens Plaza,Queens,113,2.269911504424779,14.491150442477876,0.007833263393481605
147,Longwood,Bronx,3,3.9499999999999997,32.06666666666667,0.00013987970345502866
148,Lower East Side,Manhattan,8266,3.0326760222598597,16.313286958625696,0.578052874527906
151,Manhattan Valley,Manhattan,412,2.8928883495145628,15.210485436893205,0.028745279060008393
152,Manhattanville,Manhattan,70,2.517714285714286,14.935714285714285,0.004825849769198489
155,Marine Park/Mill Basin,Brooklyn,1,10.17,40.1,0.0
156,Mariners Harbor,Staten Island,2,22.21,0.0,6.993985172751433e-05
157,Maspeth,Queens,12,4.515,41.458333333333336,0.0007693383690026577
158,Meatpacking/West Village West,Manhattan,2827,2.839366819950478,15.698107534488859,0.19765002098195553
159,Melrose South,Bronx,8,4.5925,22.175,0.0004895789620926003
160,Middle Village,Queens,3,4.726666666666667,21.2,0.00013987970345502866
161,Midtown Center,Manhattan,2529,3.1238908659549227,16.387738236457096,0.17680794516715626
162,Midtown East,Manhattan,2283,2.839929916776172,14.510118265440209,0.1596027416421877
163,Midtown North,Manhattan,2689,2.916794347341019,15.51543324656006,0.18799832144355855
164,Midtown South,Manhattan,4104,2.8157504873294346,15.242994639376219,0.2869632116379913
165,Midwood,Brooklyn,4,1.47,23.65,0.000209819555182543
166,Morningside Heights,Manhattan,292,2.6453767123287673,16.278150684931507,0.020352496852706674
167,Morrisania/Melrose,Bronx,5,1.6960000000000002,7.959999999999999,0.00027975940691005733
168,Mott Haven/Port Morris,Bronx,18,1.68,23.709444444444443,0.0011889774793677438
169,Mount Hope,Bronx,3,0.61,21.833333333333332,0.00013987970345502866
170,Murray Hill,Manhattan,2769,2.640964247020585,14.427843986998916,0.1935935095817597
173,North Corona,Queens,4,2.66,27.875,0.000209819555182543
